caribou\ABS.sg tuntu
boat\ABS.sg angyaq
river\ABS.sg kuik
dog\ABS.sg qimugta
work-IND.3sg caliuq
eat-IND.3sg neruq
play-IND.3sg aquiguq
sleep-IND.3sg qavartuq
be.good-IND.3sg assirtuq
be.hungry-IND.3sg kaigtuq
caribou-big\ABS.sg tunturpak
boat-big\ABS.sg angyarpak
river-big\ABS.sg kuirpak
dog-big\ABS.sg qimugterpak
work-PST-IND.3sg calillruuq
eat-PST-IND.3sg nerellruuq
sleep-PST-IND.3sg qavallruuq
be.hungry-PST-IND.3sg kaillruuq
caribou-to.make-IND.3sg tuntuliuq
boat-to.make-IND.3sg angyaliuq
river-to.make-IND.3sg kuiliuq
dog-to.make-IND.3sg qimugteliuq
work-place.to\ABS.sg calivik
eat-place.to\ABS.sg nervik
play-place.to\ABS.sg aquivik
sleep-place.to\ABS.sg qavarvik
be.hungry-place.to\ABS.sg kaigvik
dog\ABS.sg=QST qimugta-qaa
work-PST-IND.3sg=QST calillruuq-qaa
boat-to.make-IND.3sg=QST angyaliuq-qaa
sleep-IND.3sg=QST qavartuq-qaa
river-baby-big-to.make-again-PST-IND.3sg kuiyararpalinqigtellruuq
sleep-PST-again-place.to-big-to.make-again-IND.3sg=QST qavallrunqigtevirpalinqigtuq-qaa
